OID_,UID,siteID,siteuse,replsite,lon_WGS84,lat_WGS84,stratum,wgt,ip,caty,GRID_ID,location,year,MERGE_SRC,class_geog,class_e,class_djg,Accept/Reject,Comment,Replaces
1,DJGSite-001,Site-001,Base,None,-118.0807855,33.741362,estuary,856.2,0.001167951,None,KAK-3304,Anaheim Bay,2023,per meeting,south,Large perenially-open lagoon,estuary,,,
2,DJGSite-002,Site-002,Base,None,-118.0354766,33.68647342,estuary,856.2,0.001167951,None,KHV-3572,Bolsa chica - fully tidal,2022,polygons_new_2022,south central,Large perenially-open lagoon,estuary,,,
3,DJGSite-003,Site-003,Base,None,-118.0718989,33.74656441,estuary,856.2,0.001167951,None,KBU-3277,Anaheim Bay,2023,per meeting,south,Large perenially-open lagoon,estuary,,,
4,DJGSite-004,Site-004,Base,None,-117.2895053,33.0888314,estuary,856.2,0.001167951,None,PAB-6457,Batiquitos Lagoon,2022,san_diego_eelgrass_sites_2021_2022_2023\batiquitos_lagoon_eelgrass_aug2022.shp,south,Large perenially-open lagoon,estuary,,,
5,DJGSite-005,Site-005,Base,None,-118.1321584,33.77314526,estuary,856.2,0.001167951,None,JSC-3150,Colorado lagoon,2022,polygons_new_2022,north central,Intermittently open estuary,estuary,,,
6,DJGSite-006,Site-006,Base,None,-118.0622192,33.73675308,estuary,856.2,0.001167951,None,KDJ-3325,Anaheim Bay,2023,per meeting,south,Large perenially-open lagoon,estuary,,,
7,DJGSite-007,Site-007,Base,None,-117.3318271,33.14196977,estuary,856.2,0.001167951,None,OSZ-6199,Agua Hedionda Lagoon,2021,san_diego_eelgrass_sites_2021_2022_2023\agua_hedionda_lagoon_eelgrass_april2021.shp,south,Large perenially-open lagoon,estuary,,,
8,DJGSite-008,Site-008,Base,None,-117.322947,33.14216784,estuary,856.2,0.001167951,None,OUK-6197,Agua Hedionda Lagoon,2021,san_diego_eelgrass_sites_2021_2022_2023\agua_hedionda_lagoon_eelgrass_april2021.shp,south,Large perenially-open lagoon,estuary,,,
9,DJGSite-009,Site-009,Base,None,-118.0823888,33.73084351,estuary,856.2,0.001167951,None,KAE-3356,Anaheim Bay,2023,per meeting,south,Large perenially-open lagoon,estuary,,,
10,DJGSite-010,Site-010,Base,None,-118.0762226,33.73638643,estuary,856.2,0.001167951,None,KBD-3328,Anaheim Bay,2023,per meeting,south,Large perenially-open lagoon,estuary,,,
11,DJGSite-011,Site-011,Base,None,-117.8887502,33.64550868,small_embayment,372.8,0.002682403,None,LFK-3762,Newport back bay,2022,polygons_new_2022,south central,Open bay_harbor,small_embayment,Reject,No Grass - desktop,
12,DJGSite-012,Site-012,Base,None,-117.8934771,33.62179329,small_embayment,372.8,0.002682403,None,LET-3880,Newport back bay,2022,polygons_new_2022,south central,Open bay_harbor,small_embayment,,,
13,DJGSite-013,Site-013,Base,None,-118.2774206,33.70887981,small_embayment,372.8,0.002682403,None,IVE-3480,Cabrillo beach,2022,polygons_new_2022,north central,Open bay_harbor,small_embayment,,,
14,DJGSite-014,Site-014,Base,None,-118.1519629,33.75838112,small_embayment,372.8,0.002682403,None,JOZ-3225,East San Pedro Bay,2016,eelgrass,north central,Open bay_harbor,small_embayment,,,
15,DJGSite-015,Site-015,Base,None,-117.886309,33.64667347,small_embayment,372.8,0.002682403,None,LFU-3756,Newport back bay,2022,polygons_new_2022,south central,Open bay_harbor,small_embayment,Reject,No Grass - desktop,
16,DJGSite-016,Site-016,Base,None,-117.8973517,33.6210584,small_embayment,372.8,0.002682403,None,LED-3884,Newport back bay,2022,polygons_new_2022,south central,Open bay_harbor,small_embayment,,,
17,DJGSite-017,Site-017,Base,None,-118.2799541,33.70944092,small_embayment,372.8,0.002682403,None,IUT-3478,Cabrillo beach,2022,polygons_new_2022,north central,Open bay_harbor,small_embayment,,,
18,DJGSite-018,Site-018,Base,None,-118.1388356,33.75288772,small_embayment,372.8,0.002682403,None,JRC-3251,East San Pedro Bay,2016,eelgrass,north central,Open bay_harbor,small_embayment,,,
19,DJGSite-019,Site-019,Base,None,-117.8870042,33.631926,small_embayment,372.8,0.002682403,None,LFT-3829,Newport back bay,2022,polygons_new_2022,south central,Open bay_harbor,small_embayment,Reject,No Grass - desktop,
20,DJGSite-020,Site-020,Base,None,-117.6973066,33.45673282,small_embayment,372.8,0.002682403,None,MKV-4679,Dana Point Harbor Common Eelgrass Beds,2023,san_diego_eelgrass_sites_2021_2022_2023\dana_point_harbor_eelgrass_march2023.shp,south central,Open bay_harbor,small_embayment,,,
21,DJGSite-021,Site-021,Base,None,-117.2486559,32.76281466,large_embayment,4194.4,0.000238413,None,PIL-8066,Mission Bay,2023,per meeting,south,Open bay_harbor,large_embayment,,,
22,DJGSite-022,Site-022,Base,None,-117.1508601,32.66006252,large_embayment,4194.4,0.000238413,None,PYU-8563,San Diego Bay,2017,eelgrass,south,Open bay_harbor,large_embayment,,,
23,DJGSite-023,Site-023,Base,None,-117.2228076,32.67963838,large_embayment,4194.4,0.000238413,None,PNB-8475,San Diego Bay,2017,eelgrass,south,Open bay_harbor,large_embayment,,,
24,DJGSite-024,Site-024,Base,None,-117.2234807,32.7911722,large_embayment,4194.4,0.000238413,None,PMI-7923,Mission Bay,2023,per meeting,south,Open bay_harbor,large_embayment,,,
25,DJGSite-025,Site-025,Base,None,-117.1168884,32.63797678,large_embayment,4194.4,0.000238413,None,QEK-8668,San Diego Bay,2017,eelgrass,south,Open bay_harbor,large_embayment,,,
26,DJGSite-026,Site-026,Base,None,-117.1200734,32.64209966,large_embayment,4194.4,0.000238413,None,QDW-8648,San Diego Bay,2017,eelgrass,south,Open bay_harbor,large_embayment,,,
27,DJGSite-027,Site-027,Base,None,-117.2241517,32.77866572,large_embayment,4194.4,0.000238413,None,PMH-7985,Mission Bay,2023,per meeting,south,Open bay_harbor,large_embayment,,,
28,DJGSite-028,Site-028,Base,None,-117.2175375,32.79062063,large_embayment,4194.4,0.000238413,None,PNH-7925,Mission Bay,2023,per meeting,south,Open bay_harbor,large_embayment,,,
29,DJGSite-029,Site-029,Base,None,-117.1321152,32.61149774,large_embayment,4194.4,0.000238413,None,QCC-8801,San Diego Bay,2017,eelgrass,south,Open bay_harbor,large_embayment,,,
30,DJGSite-030,Site-030,Base,None,-117.1618515,32.67727487,large_embayment,4194.4,0.000238413,None,PWX-8479,San Diego Bay,2017,eelgrass,south,Open bay_harbor,large_embayment,,,
31,DJGSite-031,Site-031,Over,Next,-117.30543,33.0851785,estuary,856.2,0.001167951,None,OXN-6477,Batiquitos Lagoon,2022,san_diego_eelgrass_sites_2021_2022_2023\batiquitos_lagoon_eelgrass_aug2022.shp,south,Large perenially-open lagoon,estuary,,,
32,DJGSite-032,Site-032,Over,Next,-117.2566436,32.93416723,estuary,856.2,0.001167951,None,PGE-7219,Los Penasquitos,2022,san_diego_eelgrass_sites_2021_2022_2023\los_penasquitos_eelgrass_march2022.shp,south,Large river valley estuary,estuary,,,
33,DJGSite-033,Site-033,Over,Next,-118.0367281,33.69436155,estuary,856.2,0.001167951,None,KHP-3533,Bolsa chica - fully tidal,2022,polygons_new_2022,south central,Large perenially-open lagoon,estuary,,,
34,DJGSite-034,Site-034,Over,Next,-118.0645762,33.73901399,estuary,856.2,0.001167951,None,KCZ-3314,Anaheim Bay,2023,per meeting,south,Large perenially-open lagoon,estuary,,,
35,DJGSite-035,Site-035,Over,Next,-117.3014386,33.09072598,estuary,856.2,0.001167951,None,OYD-6449,Batiquitos Lagoon,2022,san_diego_eelgrass_sites_2021_2022_2023\batiquitos_lagoon_eelgrass_aug2022.shp,south,Large perenially-open lagoon,estuary,,,
