site_id,variable,result,unit,wgt
B23-SAV-001,bed_perimeter,140,m,856.2
B23-SAV-005,bed_perimeter,120,m,856.2
B23-SAV-006,bed_perimeter,140,m,856.2
B23-SAV-008,bed_perimeter,140,m,856.2
B23-SAV-009,bed_perimeter,120,m,NR
B23-SAV-011,bed_perimeter,124,m,372.8
B23-SAV-012,bed_perimeter,140,m,372.8
B23-SAV-014,bed_perimeter,42,m,372.8
B23-SAV-015,bed_perimeter,88,m,372.8
B23-SAV-018,bed_perimeter,144,m,372.8
B23-SAV-020,bed_perimeter,12,m,372.8
B23-SAV-022,bed_perimeter,140,m,4194.4
B23-SAV-023,bed_perimeter,140,m,4194.4
B23-SAV-025,bed_perimeter,56,m,4194.4
B23-SAV-026,bed_perimeter,112,m,4194.4
B23-SAV-027,bed_perimeter,127,m,4194.4
B23-SAV-029,bed_perimeter,140,m,4194.4
B23-SAV-030,bed_perimeter,140,m,4194.4
B23-SAV-031,bed_perimeter,144,m,4194.4
B23-SAV-032,bed_perimeter,145,m,856.2
B23-SAV-035,bed_perimeter,100,m,856.2
B23-SAV-036,bed_perimeter,9,m,856.2
B23-SAV-063,bed_perimeter,125,m,372.8
B23-SAV-064,bed_perimeter,76,m,372.8
B23-SAV-066,bed_perimeter,4,m,372.8
B23-SAV-092,bed_perimeter,125,m,4194.4
B23-SAV-901,bed_perimeter,60,m,NA
B23-SAV-902,bed_perimeter,118,m,NA
B23-SAV-903,bed_perimeter,25,m,NA
B23-SAV-904,bed_perimeter,9,m,NA
B23-SAV-905,bed_perimeter,140,m,NA
B23-SAV-906,bed_perimeter,3,m,NA
B23-SAV-907,bed_perimeter,1,m,NA
B23-SAV-908,bed_perimeter,106,m,NA
B23-SAV-909,bed_perimeter,14,m,NA
B23-SAV-910,bed_perimeter,12,m,NA
B23-SAV-991,bed_perimeter,20,m,NA
RESCQ-Site-001,bed_perimeter,140,m,856.2
RESCQ-Site-003,bed_perimeter,110,m,856.2
RESCQ-Site-004,bed_perimeter,140,m,856.2
RESCQ-Site-007,bed_perimeter,100,m,856.2
RESCQ-Site-008,bed_perimeter,112,m,856.2
RESCQ-Site-009,bed_perimeter,120,m,856.2
RESCQ-Site-010,bed_perimeter,140,m,856.2
RESCQ-Site-013,bed_perimeter,140,m,372.8
RESCQ-Site-014,bed_perimeter,3,m,372.8
RESCQ-Site-017,bed_perimeter,124,m,372.8
RESCQ-Site-020,bed_perimeter,9,m,372.8
RESCQ-Site-021,bed_perimeter,140,m,4194.4
RESCQ-Site-022,bed_perimeter,140,m,4194.4
RESCQ-Site-023,bed_perimeter,140,m,4194.4
RESCQ-Site-024,bed_perimeter,140,m,4194.4
RESCQ-Site-025,bed_perimeter,140,m,4194.4
RESCQ-Site-026,bed_perimeter,140,m,4194.4
RESCQ-Site-027,bed_perimeter,140,m,4194.4
RESCQ-Site-028,bed_perimeter,135,m,4194.4
RESCQ-Site-029,bed_perimeter,106,m,4194.4
RESCQ-Site-030,bed_perimeter,140,m,4194.4
RESCQ-Site-031,bed_perimeter,150,m,856.2
RESCQ-Site-033,bed_perimeter,140,m,856.2
RESCQ-Site-060,bed_perimeter,98,m,856.2
RESCQ-Site-061,bed_perimeter,18,m,372.8
RESCQ-Site-064,bed_perimeter,140,m,372.8
RESCQ-Site-065,bed_perimeter,140,m,372.8
