project_id,waterbody,sample_date,site_id,collection_method,nominal_depth,depth_units,nominal_lat,nominal_lon,bed_type,sample_n,field_org,central_depth_mhw,central_depth_raw,stratum,bed_perimeter,bed_perimeter_unit,wgt,distance to nearest inlet,inlet status (open/closed),site protection status (P/U),natural vs restored,species
B23-SAV,Agua Hedionda Lagoon,10/22/24,904AHT001,cross-parallel,2.1,m,33.14521,-117.33486,meadow,5,MLML,2.1,1.8,NA,140,m,NA,0.7733,open,U,,
B23-SAV,Batiquitos Lagoon,10/22/24,904BLT001,cross-parallel,1.6,m,33.08492,-117.3069,meadow,5,MLML,1.6,1.8,NA,140,m,NA,0.6886,open,P,,
B23-SAV,Mission Bay,10/2/24,906MBECSR,cross-3parallel,1.6,m,32.78062,-117.23903,bed,5,MLML,1.6,1.8,NA,126,m,NA,2.6115,open,U,,
B23-SAV,Mission Bay,10/3/24,906MBMCSC,cross-3parallel,2.8,m,32.76123,-117.2469,meadow,5,MLML,2.8,2.7,NA,140,m,NA,0.716,open,U,,
B23-SAV,Mission Bay,9/26/24,906MBVCSA,cross-3parallel,2.1,m,32.7711,-117.2437,bed,5,MLML,2.1,1.8,NA,56,m,NA,1.5689,open,U,,
B23-SAV,Mission Bay,9/30/24,906MBVINC,cross-3parallel,4.3,m,32.77681,-117.23834,bed,5,MLML,4.3,3.4,NA,120,m,NA,2.3511,open,U,,
B23-SAV,Mission Bay,9/24/24,906MBVIYP,cross-3parallel,2.2,m,32.7715,-117.23715,meadow,5,MLML,2.2,2.1,NA,140,m,NA,2.0741,open,U,,
B23-SAV,San Diego Bay,10/9/24,910ZNJN01,cross-parallel,3,m,32.6794,-117.22281,meadow,5,MLML,3,3,NA,140,m,NA,0.3324,open,U,,
B23-SAV,San Diego Bay,10/10/24,910ZNJN02,cross-parallel,4.6,m,32.67558,-117.22271,bed,5,MLML,4.6,4.3,NA,78,m,NA,0.619,open,U,,
B23-SAV,San Diego Bay,10/16/24,912SDBCPB,cross-parallel,1.9,m,32.68333,-117.16493,meadow,5,MLML,1.9,1.8,NA,140,m,NA,5.8632,open,U,,
B23-SAV,San Diego Bay,10/8/24,912SDBSLB,cross-parallel,4,m,32.72808,-117.21023,meadow,5,MLML,4,3.7,NA,140,m,NA,5.31,open,U,,
B23-SAV,San Diego Bay,10/16/24,912SDCBVP,cross-parallel,1.6,m,32.70204,-117.17838,meadow,5,MLML,1.6,2.1,NA,140,m,NA,4.8937,open,U,,
B23-SAV,San Diego Bay,10/9/24,912SDNOST,parallel,1.9,m,32.71211,-117.23608,patch,2,MLML,1.9,1.5,NA,10,m,NA,3.1467,open,U,,
