site_id,Final TSS Dry Weight (mg),,,,,,,,,
B23-SAV-036,31.6,,,,,,,,,
B23-SAV-032,32.6,,,,,,,,,
B23-SAV-910,33,,,,,,,,,
RESCQ-Site-022,33.8,,,,,,,,,
B23-SAV-906,26.2,,,,,,,,,
B23-SAV-908,27.5,,,,,,,,,
RESCQ-Site-033,32,,,,,,,,,
RESCQ-Site-004,28.7,,,,,,,,,
B23-SAV-063,29.3,,,,,,,,,
B23-SAV-009,28.8,,,,,,,,,
RESCQ-Site-010,28.8,,,,,,,,,
RESCQ-Site-009,30.1,,,,,,,,,
B23-SAV-006,31.5,,,,,,,,,
RESCQ-Site-003,32.5,,,,,,,,,
B23-SAV-008,31.9,,,,,,,,,
RESCQ-Site-001,29.1,,,,,,,,,
B23-SAV-905,32.9,,,,,,,,,
RESCQ-Site-060,35.9,,,,,,,,,
RESCQ-Site-013,24,,,,,,,,,
RESCQ-Site-027,30.6,,,,,,,,,
RESCQ-Site-017,36.9,,,,,,,,,
B23-SAV-015,65.4,,,,,,,,,
RESCQ-Site-023,31.3,,,,,,,,,
RESCQ-Site-030,30.6,,,,,,,,,
RESCQ-site-024,29.3,,,,,,,,,
RESCQ-Site-028,27.9,,,,,,,,,
B23-SAV-092,29.8,,,,,,,,,
RESCQ-Site-021,31.7,,,,,,,,,
B23-SAV-022,27.4,,,,,,,,,
B23-SAV-011,29.2,,,,,,,,,
B23-SAV-020,22.2,,,,,,,,,
B23-SAV-026,26.4,,,,,,,,,
RESCQ-Site-061,31.1,,,,,,,,,
RESCQ-Site-014,27.9,,,,,,,,,
B23-SAV-029,30.5,,,,,,,,,
B23-SAV-030,40.6,,,,,,,,,
B23-SAV-023,36.4,,,,,,,,,
B23-SAV-027,32,,,,,,,,,
B23-SAV0-30,31.6,,,,,,,,,
RESCQ-Site-026,35.8,,,,,,,,,
RESCQ-Site-025,39.6,,,,,,,,,
B23-SAV-027,33.1,,,,,,,,,
RESCQ-Site-029,32.9,,,,,,,,,
RESCQ-Site-065,30.1,,,,,,,,,
B23-SAV-991,23.5,,,,,,,,,
RESCQ-Site-031,30.5,,,,,,,,,
B23-SAV-035,32.9,,,,,,,,,
RESCQ-Site-064,33.4,,,,,,,,,
B23-SAV-001,32.4,,,,,,,,,
B23-SAV-012,33,,,,,,,,,
RESCQ-Site-007,21.8,,,,,,,,,
RESCQ-Site-008,21.5,,,,,,,,,
B23-SAV-008,6.8,,,,,,,,,
B23-SAV-066,29,,,,,,,,,
RESCQ-Site-20,31.3,,,,,,,,,
