stratum,function_,mean,sd,min,max,range,fun_condition
estuary,carbon.sequestration,2.269,1.111,1,3.5,2.5,moderate condition
estuary,nekton.habitat,2.536,0.771,1,3.5,2.5,good condition
estuary,primary.production,2.372,0.52,1.5,3.25,1.75,moderate condition
estuary,secondary.production,2.487,0.857,1.4,3.67,2.27,moderate condition
estuary,substrate.stabilization,2.476,0.878,1,3.75,2.75,moderate condition
estuary,waterfowl.habitat,2.786,0.871,1,4,3,good condition
estuary,wq,2.542,0.79,1,3.5,2.5,good condition
large_embayment,carbon.sequestration,2.796,0.711,1,4,3,good condition
large_embayment,nekton.habitat,2.398,0.666,1.5,3.75,2.25,moderate condition
large_embayment,primary.production,2.471,0.48,1.5,3.67,2.17,moderate condition
large_embayment,secondary.production,2.659,0.538,1.4,3.8,2.4,good condition
large_embayment,substrate.stabilization,2.63,0.702,1.25,3.75,2.5,good condition
large_embayment,waterfowl.habitat,2.519,0.714,1.5,4,2.5,good condition
large_embayment,wq,2.407,0.632,1.5,3.5,2,moderate condition
small_embayment,carbon.sequestration,2.139,0.982,1,4,3,moderate condition
small_embayment,nekton.habitat,2.347,0.563,1,3.5,2.5,moderate condition
small_embayment,primary.production,2.185,0.631,1.33,3.33,2,moderate condition
small_embayment,secondary.production,2.233,0.694,1.2,3.4,2.2,moderate condition
small_embayment,substrate.stabilization,2.25,0.659,1,3.5,2.5,moderate condition
small_embayment,waterfowl.habitat,2.333,0.767,1,3.5,2.5,moderate condition
small_embayment,wq,2.222,0.593,1,3.75,2.75,moderate condition
NA,carbon.sequestration,3,NA,3,3,0,good condition
NA,nekton.habitat,2.625,0.177,2.5,2.75,0.25,good condition
NA,primary.production,2.75,0.118,2.67,2.83,0.16,good condition
NA,secondary.production,2.55,0.071,2.5,2.6,0.1,good condition
NA,substrate.stabilization,2.75,0.354,2.5,3,0.5,good condition
NA,waterfowl.habitat,2.25,0.354,2,2.5,0.5,moderate condition
NA,wq,2.542,0.295,2.33,2.75,0.42,good condition
