waterbody,mean,sd,min,max,range,overall_cond
Agua Hedionda Lagoon,3.082,0.147,2.94,3.22,0.28,good condition
Alamitos Bay,1.731,0.412,1.21,2.32,1.11,poor condition
Batiquitos Lagoon,2.989,0.35,2.45,3.32,0.87,good condition
Bolsa Chica,1.917,0,1.92,1.92,0,moderate condition
Dana Point Harbor,2.243,0,2.24,2.24,0,moderate condition
Huntington - Magnolia Marsh2,2.262,0,2.26,2.26,0,moderate condition
King Harbor,2.155,0,2.15,2.15,0,moderate condition
La Jolla Cove,2.598,0,2.6,2.6,0,good condition
Magnolia Marsh,2.904,0.666,2.26,3.55,1.29,good condition
Mission Bay,2.96,0.51,1.98,3.6,1.62,good condition
Newport Bay,1.944,0.266,1.52,2.23,0.71,moderate condition
Oceanside Harbor,2.91,0,2.91,2.91,0,good condition
Port of Los Angeles ,2.395,0.78,1.15,3.1,1.95,moderate condition
San Diego Bay,2.462,0.48,1.64,3.07,1.43,moderate condition
San Diego Bay (Zuniga Jetty),3.124,0,3.12,3.12,0,good condition
San Diego Estuary,1.788,0,1.79,1.79,0,moderate condition
San Diego South Bay,2.138,0.107,2.01,2.26,0.25,moderate condition
San Dieguito Lagoon,3.208,0,3.21,3.21,0,good condition
San Elijo Lagoon,1.143,0,1.14,1.14,0,poor condition
Santa Ana River,1.605,0,1.6,1.6,0,poor condition
Santa Cruz Island,2.625,0,2.62,2.62,0,good condition
Seal Beach NWR,2.477,0.414,2.08,2.88,0.8,moderate condition
Seal Beach NWR (Case Pond),1.664,0,1.66,1.66,0,poor condition
